layer,neuron
block0_layer0_nonlin_attention_out_proj,50
block0_layer0_self_attn1_in_proj,9
block0_layer0_self_attn2_in_proj,24
block0_layer0_self_attn2_in_proj,43
block0_layer1_nonlin_attention_out_proj,153
block0_layer1_self_attn1_in_proj,43
block0_layer1_self_attn1_in_proj,19
block0_layer1_self_attn1_in_proj,47
block0_layer1_self_attn1_out_proj,155
block0_layer1_self_attn2_in_proj,1
block0_layer1_self_attn2_in_proj,30
block0_layer1_self_attn2_out_proj,28
block1_layer0_self_attn1_in_proj,26
block1_layer0_self_attn1_in_proj,43
block1_layer0_self_attn2_in_proj,24
block1_layer0_self_attn2_in_proj,2
block1_layer1_self_attn1_in_proj,41
block1_layer1_self_attn2_out_proj,25
block2_layer0_self_attn1_in_proj,30
block2_layer0_self_attn1_in_proj,39
block2_layer0_self_attn2_in_proj,1
block2_layer1_self_attn1_in_proj,21
block2_layer1_self_attn1_out_proj,65
block2_layer1_self_attn2_in_proj,39
block2_layer2_self_attn1_in_proj,41
block2_layer2_self_attn2_in_proj,1
block3_layer0_self_attn1_out_proj,52
block3_layer0_feed_forward3_in_proj,1165
block3_layer1_nonlin_attention_in_proj,697
block3_layer1_self_attn2_out_proj,286
block3_layer1_conv_module2_in_proj,616
block3_layer2_feed_forward1_in_proj,344
block3_layer2_feed_forward1_in_proj,278
block3_layer2_nonlin_attention_in_proj,341
block3_layer2_self_attn1_in_proj,68
block3_layer2_self_attn1_out_proj,286
block3_layer2_self_attn2_in_proj,14
block4_layer0_self_attn_weights_in_proj,152
block4_layer1_self_attn2_in_proj,26
block4_layer1_self_attn2_in_proj,47
block4_layer1_self_attn2_out_proj,376
block4_layer2_self_attn1_in_proj,47
block4_layer2_self_attn2_in_proj,10
block5_layer0_self_attn1_in_proj,0
block5_layer1_nonlin_attention_out_proj,5
