audio_file,top10_neuron_indices
audio--1504190166-headset,"15,1,9,10,88,42,22,29,71,57"
audio--1504190166,"19,30,88,2,70,1,83,42,33,9"
audio--1504190218-headset,"10,15,60,68,81,34,80,78,71,88"
audio--1504190218,"27,81,71,42,10,34,30,22,54,29"
audio--1504190258-headset,"42,63,72,1,32,70,29,57,48,77"
audio--1504190258,"83,13,4,88,9,2,77,10,22,27"
audio--1504190270-headset,"1,15,81,22,33,19,83,13,10,48"
audio--1504190270,"1,72,2,15,30,10,32,48,27,34"
audio--1504190285-headset,"32,57,70,68,9,15,64,27,13,2"
audio--1504190285,"34,83,88,22,10,48,19,2,13,46"
audio--1504190292-headset,"1,57,42,46,22,27,77,54,29,32"
audio--1504190292,"33,30,70,42,1,68,83,19,9,13"
audio--1504190327-headset,"22,29,33,1,57,77,30,19,88,27"
audio--1504190327,"57,83,9,81,29,2,16,30,22,48"
audio--1504190370-headset,"88,64,29,83,27,42,81,45,32,33"
audio--1504190370,"27,19,70,30,9,29,71,81,72,22"
audio--1504190432-headset,"72,32,22,2,64,42,57,34,78,88"
audio--1504190432,"10,64,16,58,2,1,9,33,80,19"
audio--1504190472-headset,"46,19,70,72,78,27,30,29,13,83"
audio--1504190472,"78,10,45,1,22,9,57,16,13,77"
audio--1504190482-headset,"10,32,29,15,33,1,70,71,19,13"
audio--1504190482,"33,9,2,80,63,22,19,48,71,57"
audio--1504190511-headset,"34,72,30,45,9,46,78,77,16,32"
audio--1504190511,"42,1,9,64,27,71,32,2,78,81"
audio--1504190518-headset,"13,10,78,29,27,9,32,2,57,54"
audio--1504190518,"48,19,70,72,45,29,4,54,30,88"
audio--1504190572-headset,"83,27,13,32,33,2,88,10,70,72"
audio--1504190584-headset,"80,81,38,22,10,63,13,64,1,16"
audio--1504190584,"1,29,13,22,9,2,47,54,57,33"
audio--1504190593-headset,"77,42,88,71,83,33,48,57,81,54"
audio--1504190593,"45,32,70,16,30,33,29,88,1,77"
audio--1504190598-headset,"30,9,72,15,88,63,2,1,19,10"
audio--1504190598,"27,48,71,57,45,34,64,77,42,19"
audio--1504190625-headset,"88,10,15,34,71,27,2,1,57,83"
audio--1504190625,"15,42,19,2,27,71,22,57,32,29"
audio--1504190646-headset,"30,13,9,58,1,34,57,72,27,64"
audio--1504190646,"57,22,30,2,33,63,60,42,70,34"
audio--1504190658-headset,"88,2,10,4,48,34,9,77,42,78"
audio--1504190658,"22,72,45,57,33,42,81,63,64,48"
audio--1504190669-headset,"1,22,33,9,13,71,27,30,57,4"
audio--1504190669,"33,27,57,34,46,19,15,9,2,70"
audio--1504190681-headset,"64,33,22,27,63,10,2,29,9,71"
audio--1504190681,"30,46,34,45,77,27,22,4,68,32"
audio--1504190714-headset,"1,22,27,34,46,48,33,30,80,32"
audio--1504190714,"13,30,15,2,10,72,32,48,81,64"
audio--1504190734-headset,"88,32,42,27,81,70,16,10,33,9"
